company_id,company_name,industry,size_range,hq_location
994,Horizon Blue Cross Blue Shield of New Jersey,Insurance,501-1000,"Newark, NJ, US"
995,Lockton,Insurance,1000+,"Global, 0, US"
996,Nexans,Manufacturing,1000+,"Courbevoie, Hauts-de-Seine, FR"
997,ECCO,Retail Apparel and Fashion,1000+,"Bredebro, South Denmark, DK"
998,Newsweek,Online Audio and Video Media,51-200,"New York, 0, US"
999,Sam's Club,Retail,1000+,"Bentonville, Arkansas, US"
1000,Corestaff Services,Staffing and Recruiting,501-1000,"Atlanta, GA, US"
1001,"McDermott International, Ltd",Oil and Gas,1000+,"Houston, Texas, US"
1002,Lennox,Manufacturing,1000+,"Richardson, TX, US"
1003,Aurora Health Care,Hospitals and Health Care,1000+,"Milwaukee, WI, US"
1004,Daiichi Sankyo US,Pharmaceutical Manufacturing,1000+,"Basking Ridge, NJ, US"
1005,St. Jude Children's Research Hospital - ALSAC,Non-profit Organizations,501-1000,"Memphis, TN, US"
1006,The Timken Company,Industrial Machinery Manufacturing,1000+,"North Canton, OH, US"
1007,Johnson Matthey,Chemical Manufacturing,1000+,"London, Greater London, GB"
1008,"Vistage Worldwide, Inc.",Professional Training and Coaching,201-500,"San Diego, California, US"
1009,Cirque du Soleil Entertainment Group,Entertainment Providers,501-1000,"Montréal, Québec, CA"
1010,SS&C Technologies,Software Development,1000+,"Windsor, CT, US"
1011,"Zones, LLC",IT Services and IT Consulting,501-1000,"Auburn, WA, US"
1012,Scientific Research Corporation,Defense and Space Manufacturing,501-1000,"Atlanta, GA, US"
1013,"University of California, Riverside",Higher Education,1000+,"Riverside, ca, US"
1014,Emmis Corporation,Venture Capital and Private Equity Principals,11-50,"Indianapolis, IN, US"
1015,GEODIS,Truck Transportation,1000+,"LEVALLOIS-PERRET, France, FR"
1016,Presidio,IT Services and IT Consulting,501-1000,"New York, NY, US"
1017,University of Arkansas,Higher Education,1000+,"Fayetteville, AR, US"
1018,EBSCO Information Services,Information Services,501-1000,"Ipswich, MA, US"
1019,"NVR, Inc.",Construction,501-1000,"Reston, Virginia, US"
1020,AlixPartners,Business Consulting and Services,501-1000,"New York, NY, US"
1021,DICK'S Sporting Goods,Retail,1000+,"Coraopolis, PA, US"
1022,Petco,Retail,1000+,"San Diego, California, US"
1023,Riverbed Technology,Software Development,501-1000,"San Francisco, California, US"
1024,Nelson Connects,Staffing and Recruiting,51-200,"San Rafael, California, US"
1025,Space Dynamics Laboratory,Defense and Space Manufacturing,501-1000,"N Logan, UT, US"
1026,Stevens Institute of Technology,Higher Education,201-500,"Hoboken, NJ, US"
1027,Blackstone,Financial Services,501-1000,"New York, NY, US"
